collection,algoritmo,execucao_index,tempo_ns
inversos,insertion,80,2192801700
inversos,insertion,81,2190355900
inversos,insertion,82,2191773000
inversos,insertion,83,2195825900
inversos,insertion,84,2193919000
inversos,insertion,85,2212659700
inversos,insertion,86,2188977200
inversos,insertion,87,2192108100
inversos,insertion,88,2192849500
inversos,insertion,89,2196133400
inversos,insertion,90,2194347800
inversos,insertion,91,2193637200
inversos,insertion,92,2194316800
inversos,insertion,93,2190155700
inversos,insertion,94,2189031600
inversos,insertion,95,2190756800
inversos,insertion,96,2189369600
inversos,insertion,97,2191870800
inversos,insertion,98,2188520100
inversos,insertion,99,2188723300
inversos,merge,0,8490100
inversos,merge,1,8450900
inversos,merge,2,8462000
inversos,merge,3,8417100
inversos,merge,4,9797000
inversos,merge,5,8511200
inversos,merge,6,8431400
inversos,merge,7,8902600
inversos,merge,8,8425400
inversos,merge,9,8418900
inversos,merge,10,8658000
inversos,merge,11,8257700
inversos,merge,12,8405400
inversos,merge,13,8268500
inversos,merge,14,8609200
inversos,merge,15,8420600
inversos,merge,16,8798300
inversos,merge,17,8428900
inversos,merge,18,8575400
inversos,merge,19,8451300
inversos,merge,20,8512000
inversos,merge,21,8596200
inversos,merge,22,8336400
inversos,merge,23,8614000
inversos,merge,24,8448800
inversos,merge,25,8443800
inversos,merge,26,8407300
inversos,merge,27,8378100
inversos,merge,28,8338300
inversos,merge,29,8952700
inversos,merge,30,8319600
inversos,merge,31,8510500
inversos,merge,32,8568300
inversos,merge,33,8324000
inversos,merge,34,8357100
inversos,merge,35,8414800
inversos,merge,36,8636300
inversos,merge,37,8559200
inversos,merge,38,8343600
inversos,merge,39,8400600
inversos,merge,40,8356600
inversos,merge,41,8623600
inversos,merge,42,8506200
inversos,merge,43,8446200
inversos,merge,44,8390800
inversos,merge,45,8540900
inversos,merge,46,8556300
inversos,merge,47,8481500
inversos,merge,48,8337600
inversos,merge,49,8387200
inversos,merge,50,8590000
inversos,merge,51,8353300
inversos,merge,52,8342000
inversos,merge,53,8340300
inversos,merge,54,8567500
inversos,merge,55,8860700
inversos,merge,56,8449900
inversos,merge,57,8409100
inversos,merge,58,8471500
inversos,merge,59,8746900
inversos,merge,60,8478800
inversos,merge,61,8399100
inversos,merge,62,8498700
inversos,merge,63,8782800
inversos,merge,64,8637200
inversos,merge,65,8338000
inversos,merge,66,8508600
inversos,merge,67,8372900
inversos,merge,68,8521900
inversos,merge,69,8418600
inversos,merge,70,8474900
inversos,merge,71,8417200
inversos,merge,72,8928600
inversos,merge,73,8490300
inversos,merge,74,8708800
inversos,merge,75,8533100
inversos,merge,76,8611300
inversos,merge,77,8308000
inversos,merge,78,8259800
inversos,merge,79,8464700
inversos,merge,80,8448500
inversos,merge,81,8562400
inversos,merge,82,8198800
inversos,merge,83,9116300
inversos,merge,84,9213700
inversos,merge,85,8586000
inversos,merge,86,8287100
inversos,merge,87,8280200
inversos,merge,88,8349200
inversos,merge,89,8244100
inversos,merge,90,8743400
inversos,merge,91,8420200
inversos,merge,92,8285000
inversos,merge,93,8282000
inversos,merge,94,8838200
inversos,merge,95,8661500
inversos,merge,96,9291800
inversos,merge,97,8374500
inversos,merge,98,8549600
inversos,merge,99,8474500
inversos,hibrido,0,10711500
inversos,hibrido,1,10995600
inversos,hibrido,2,10842200
inversos,hibrido,3,10738000
inversos,hibrido,4,10809600
inversos,hibrido,5,10637700
inversos,hibrido,6,11296600
inversos,hibrido,7,10732700
inversos,hibrido,8,10909000
inversos,hibrido,9,11221000
inversos,hibrido,10,10800000
inversos,hibrido,11,10737700
inversos,hibrido,12,10707800
inversos,hibrido,13,10734800
inversos,hibrido,14,10643000
inversos,hibrido,15,10762600
inversos,hibrido,16,10729000
inversos,hibrido,17,10749700
inversos,hibrido,18,10584700
inversos,hibrido,19,10738000
inversos,hibrido,20,10732300
inversos,hibrido,21,10571200
inversos,hibrido,22,11038100
inversos,hibrido,23,10801500
inversos,hibrido,24,10880900
inversos,hibrido,25,11123400
inversos,hibrido,26,11111500
inversos,hibrido,27,10706600
inversos,hibrido,28,10806200
inversos,hibrido,29,10987500
inversos,hibrido,30,10815300
inversos,hibrido,31,12211900
inversos,hibrido,32,10832800
inversos,hibrido,33,10701700
inversos,hibrido,34,10564400
inversos,hibrido,35,10564400
inversos,hibrido,36,11036400
inversos,hibrido,37,10593500
inversos,hibrido,38,10766300
inversos,hibrido,39,10688300
inversos,hibrido,40,10839100
inversos,hibrido,41,10608200
